scorer,,,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila
bodyparts,,,earr,earr,earl,earl,eyer,eyer,eyel,eyel,nose,nose,throat,throat,elbowr,elbowr,elbowl,elbowl,handr,handr,handl,handl,tailbase,tailbase,tailtip,tailtip,kneer,kneer,kneel,kneel,ankler,ankler,anklel,anklel
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,The_Secret_Life_of_Pets__What_do_pets_do_when_we_leave_HD_CLIP_,img004.png,593.2222243505691,700.7224237671619,702.7392462448738,693.9898199621842,637.2085692097571,677.3827305765724,667.7297064589895,673.792008547251,718.4486551231552,746.0552893873454,636.3108887024267,769.3949825779349,495.8238893052245,791.3881550075289,,,551.031240506042,795.8765575441805,608.4827929751854,797.223078305176,172.1607654199094,1029.2105688555635,,,283.3842002773961,1007.0235159622629,,,304.0308519459945,1029.9143688991871,310.31461549730705,957.6510880590928
labeled-data,The_Secret_Life_of_Pets__What_do_pets_do_when_we_leave_HD_CLIP_,img005.png,598.0569421251887,702.0039265154298,704.84759120336,694.2574545615729,637.8959407450247,682.6377466307874,673.3083839626565,677.1045523780325,722.0004933869004,749.0360776638473,631.8094270669942,775.0420906517957,508.9725146558335,785.5551597320302,,,562.6444989075569,797.1748676628156,611.8899277570763,792.7483122606116,192.4683117557535,996.7390901148685,,,262.61224987328933,983.8094355099787,311.3043592975332,930.1374512582554,309.0910815964312,1001.5156571187947,338.9703305613081,931.2440901088063
labeled-data,The_Secret_Life_of_Pets__What_do_pets_do_when_we_leave_HD_CLIP_,img007.png,606.2120787850142,705.3974553304487,713.8472225911723,702.0338570865006,650.7797555172516,689.4203636717168,681.8930392737192,684.374966305803,732.3470129328557,764.2604245994355,649.0979563952803,780.2375162581731,548.1900090770072,792.8510096729565,,,596.9621836141725,807.1463022097122,617.9846726388128,799.5782061608419,191.6485952191087,971.9626161628885,,,311.30435929753315,899.7048828681031,265.93216642494224,968.8698110275403,337.8636917107571,903.0247994197562,304.6645261942272,983.8094355099787
labeled-data,The_Secret_Life_of_Pets__What_do_pets_do_when_we_leave_HD_CLIP_,img008.png,602.0075809800862,723.0563461111512,718.0517203961003,707.0792544524255,651.6206550782372,695.3066605986265,682.7339388347048,692.7839619156699,734.028812054827,771.8285206483176,643.2116594683811,786.1238131850723,534.7356161012375,799.5782061608412,,,598.6439827361438,807.9872017706978,,,178.19420224333896,968.599017918946,,,295.92014078132433,934.1221359185369,,,326.5046886735007,948.5331389875876,322.35812586523343,901.8843073945816
labeled-data,The_Secret_Life_of_Pets__What_do_pets_do_when_we_leave_HD_CLIP_,img018.png,626.9938864877686,541.6805011122314,742.6376463703477,529.5074737561704,677.8992736131145,534.4873485836498,711.6517585549199,525.6342377792419,770.8569370593982,621.3584983519031,686.1990649922469,632.4248868574131,636.4003167174521,785.6943676587262,,,655.7664966020945,817.2335748994296,,,239.48241573540784,742.0237813540073,157.62816292577497,891.4077927315872,287.23072987436035,808.1893023751272,,,283.1380172338787,855.9376165140798,,
labeled-data,The_Secret_Life_of_Pets__What_do_pets_do_when_we_leave_HD_CLIP_,img019.png,629.345348597675,532.6749456056207,747.9121866966459,521.7432513128076,675.5948244518835,525.1068495567501,709.2308068913078,515.0160548249228,767.2528765993148,612.5604038992535,687.367418305682,623.4920981920664,643.6406411344303,798.3992068770731,674.7539248908979,791.6720103891882,652.890536305272,821.1034950236847,,,277.0084325447046,717.6728490224548,137.41910542109343,813.5353989748141,320.7352097159563,788.3084121452459,,,299.71272069131606,838.7623858043825,,
labeled-data,The_Secret_Life_of_Pets__What_do_pets_do_when_we_leave_HD_CLIP_,img024.png,688.2083178666676,533.5158451666063,811.8205533315522,499.0389631661962,731.0941954769337,502.4025614101387,763.0483787943868,489.78906799535457,828.6385445512644,571.3563254109586,754.6393831845307,593.2197139965845,667.1858288420274,795.0356086331308,744.5485884527035,800.0810059990445,684.8447196227252,820.262595462699,744.5485884527035,826.9897919505838,379.59817898494896,659.6507793144476,320.7352097159563,579.7653210208148,413.2341614243733,764.7632244376488,446.8701438637977,756.3542288277927,421.64315703422943,798.3992068770731,447.7110434247833,776.5358182914473
labeled-data,The_Secret_Life_of_Pets__What_do_pets_do_when_we_leave_HD_CLIP_,img026.png,705.0263090863798,527.629548239707,830.3203436732358,498.19806360521085,758.843880989459,513.3342557029519,794.1616625508547,502.4025614101389,853.8655313808329,585.6516179477143,770.6164748432576,593.2197139965847,720.162501184121,805.1264033649584,749.5939858186173,800.9219055600303,726.0487981110202,835.3987875604403,749.5939858186172,832.0351893164982,419.9613579122583,678.9914692171171,388.0071745948051,578.083521898844,416.5977596683158,773.1722200475053,510.7785104987041,780.7403160963759,413.2341614243734,805.1264033649586,510.7785104987041,800.0810059990449
