scorer,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila
bodyparts,earr,earr,earl,earl,eyer,eyer,eyel,eyel,nose,nose,throat,throat,elbowr,elbowr,elbowl,elbowl,handr,handr,handl,handl,tailbase,tailbase,tailtip,tailtip,kneer,kneer,kneel,kneel,ankler,ankler,anklel,anklel
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/zootopia bunny/img003.png,1256.9653414757686,366.87162556790645,1294.5086137893895,378.13460726199276,1173.431560577962,427.8794430775404,1206.2819238523803,426.0022794618594,1182.8173786563673,433.5109339245836,1187.5102876955698,466.36129719900185,1178.1244696171646,533.0006055556788,1235.3779598954366,533.0006055556793,1155.5985062289922,563.0352234065756,1185.6331240798888,557.4037325595325,1238.193705318958,553.6494053281704,1248.518105205204,538.632096402722,1197.247418517692,633.5075111014171,1228.4749266550898,630.9460741565562,1205.5373505746522,674.023833052164,1259.7024347924878,673.3395597229843
labeled-data/zootopia bunny/img014.png,1115.7905500586066,401.96221058300483,1206.1146295103433,430.7016904085574,1119.211916704506,538.1326030897895,1155.4784031510364,537.4483297606098,1133.581656617282,549.0809763566667,1141.1086632382603,575.7676361946798,1112.3691834127076,632.562322516605,1183.533609647409,641.4578757959428,1075.4184236369972,657.8804356962585,1131.5288366297427,671.565902279855,1204.061809522804,672.2501756090348,1208.167449497883,648.9848824169208,1138.2727828753973,736.025708322303,1186.4981648570008,740.4788857399722,1166.2589852567353,772.7203768382655,1210.4037910679608,793.9957717282815
labeled-data/zootopia bunny/img022.png,1134.7568305167263,377.1041597934071,1205.4650745319746,381.1678519781915,1098.9963392906238,507.1423097065075,1134.7568305167263,507.95504814346435,1110.37467740802,519.3333862608606,1116.876584903675,554.2811390500063,1082.7415705514863,607.9218758891602,1162.3899373732602,619.3002140065565,1059.9848943166935,575.4123384108852,1107.1237236601924,633.1167674348235,1177.019229238484,650.1842746109179,1195.712213288492,636.3677211826509,1160.8693299750828,735.3645062777854,1133.550831545758,738.641677394547,1150.198860818907,795.664454826199,1094.199113508108,803.0654409468883
labeled-data/zootopia bunny/img028.png,1109.8341879952854,387.77064390950477,1171.864482893349,384.36238594807264,1097.5644593341299,539.7789489893748,1135.0552969098826,540.4606005816613,1112.560794364431,558.8651935733944,1130.2837357638778,586.131257264851,1094.8378529649844,628.3936559866086,1175.9543924470674,636.5734750940455,1073.0250020118192,600.4459407028658,1118.0140071027224,652.9331133089195,1189.5349895549273,663.0792350864134,1206.366540410615,654.7158943964378,,,1158.6771463195005,746.6077725104333,1205.6057202293582,795.6413835415368,1121.9723133296025,810.8474575233106
labeled-data/zootopia bunny/img039.png,1128.1664118726815,394.7848387941318,1190.6948367804928,374.63679076828146,1133.0297338099556,526.0945311005357,1173.3258298616563,517.7574077794943,1146.9249393450248,536.5159352518376,1169.1572682011356,568.4749079824969,1122.6083296586537,618.4976479087459,1219.8747684041382,632.3928534438152,1144.145898238011,621.9714492925132,1167.7677476476288,654.6251822999259,1210.1481245295897,664.3518261744744,1226.8223711716728,648.3723398091447,1153.8725421125594,737.3016552335876,1218.4852478506314,747.7230593848894,1117.7450077213796,791.4929568203574,1221.9590492343987,814.4200459532217
labeled-data/zootopia bunny/img042.png,1133.724494086709,432.9966540155721,1201.1162409317947,403.12196211517335,1144.145898238011,524.0102502702754,1180.273432629191,514.9783666724804,1153.177781835806,529.568332484303,1174.0205901384097,571.2539490895107,,,1225.432850618166,635.8666548275825,1135.8087749169695,613.6343259714718,1174.7153504151634,662.9623056209674,1217.7904875738775,670.6046686652553,1241.4123369834954,653.2356617464189,1171.9363093081495,747.028299108136,1222.6538095111518,759.5339840896984,1151.7882612822991,794.9667582041247,1251.8337411347973,813.7252856764682
labeled-data/zootopia bunny/img051.png,1241.4123369834954,397.5638799011457,1348.4054196035281,420.4909690340099,1194.16863816426,503.1674419676716,1231.685693108947,517.7574077794943,1200.4214806550413,519.8416886097547,1201.1162409317947,553.1901818939207,1169.852028477889,605.2972026504302,1236.5490150462213,622.6662095692667,1137.89305574723,571.2539490895107,1180.273432629191,639.3404562113498,1242.8018575370024,657.4042234069398,1246.9704191975231,631.6980931670616,1240.717576706742,740.0806963406014,1178.1891517989307,734.5226141265738,1228.9066520019333,800.5248404181525,1196.2529189945205,792.8824773738644
