scorer,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila
bodyparts,earr,earr,earl,earl,eyer,eyer,eyel,eyel,nose,nose,throat,throat,elbowr,elbowr,elbowl,elbowl,handr,handr,handl,handl,tailbase,tailbase,tailtip,tailtip,kneer,kneer,kneel,kneel,ankler,ankler,anklel,anklel
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/videoplayback/img005.png,976.7291525152918,373.92377309634867,1105.7275807955086,364.00081707479353,1025.441845712017,440.6782045140832,1058.8190614208843,436.16776995883083,1028.1481064451684,523.6702003307261,1060.6232352429854,631.920629656782,963.1978488495349,588.6204579263597,1171.5799253021926,596.7392401258138,891.9329828765481,617.4872390799745,1238.3343567199272,700.4792348966173,,,,,1008.3021944020581,779.8628830690584,1104.8254938844582,797.0025343790172,994.7708907363012,824.0651417105312,1131.888101215972,837.5964453762882
labeled-data/videoplayback/img021.png,970.1697506692736,369.27024693295675,1083.1805110333466,364.3990934689881,992.5770566035295,435.5179340429306,1022.7782080801352,434.54370335013687,955.5562902773677,521.250235008779,1006.2162863026417,649.8486864575517,,,,,799.6793794303705,610.8794587458024,1132.8662763658272,687.8436834765073,,,,,1017.9070546161665,780.3955992919118,1111.433201124365,800.8544438405802,995.4997486819107,819.3648270036612,1128.9693535946521,839.8236715523295
labeled-data/videoplayback/img025.png,975.3252036651324,356.4213423466616,1106.0726934068325,360.07861478698885,1021.955427279305,424.0808824927161,1058.5281516825778,423.1665643826343,1037.498835150696,489.91178641860705,1042.984743811187,612.4304131695708,,,,,829.0343060520413,609.6874588393252,1134.416554819369,677.3469989853799,,,,,1019.2124729490597,782.493581644789,1117.0445107278142,798.0369895161799,991.782929646605,824.5522147085526,1125.2733737185506,839.1813044698617
labeled-data/videoplayback/img040.png,887.5506650972777,324.4202084937979,995.4402020869325,268.646803778807,940.5811154820233,344.5352069155979,968.0106587844778,330.82043526437064,951.552932803005,389.33679430960706,,,981.725430435705,588.6581423074435,1181.0467784335415,538.3706462529435,1056.6995154624142,524.6558746017162,1129.8449642689598,446.02451713467974,,,,,1036.5845170406142,765.1215375532345,1099.6724666362597,779.7506273145435,1005.4977012978325,807.1801706169981,1126.1876918286325,836.4383501396163
labeled-data/videoplayback/img055.png,1018.2029941209196,252.76637460518714,1116.1444374854957,238.60616592597137,1038.2632897498086,296.4270180327694,1061.8636375485016,292.88696586296544,1015.8429593410501,344.80773102009016,1055.9635505988285,463.98948740349033,942.6818811651017,474.60964391290213,1219.9859677997454,504.1100786612685,882.5009942784343,369.58809620871796,1271.9067329568702,402.6285831268882,1122.5214989257183,706.428983416927,1159.8887162736492,730.0293312156201,1026.4631158504621,760.1738522770885,1099.6241940264106,784.9542174657163,1011.1228897813116,810.9146000442786,1111.4243679257572,853.3952260819262
labeled-data/videoplayback/img059.png,1036.4276437574679,254.2857056048632,1134.1528808453013,251.9308806147949,1056.443656173048,307.2692678813994,1081.169318568765,308.4466803764335,1024.6535188071266,362.6076551480038,1052.9114186879458,487.4133796216223,964.6054815603856,514.4938670074074,1201.265393062247,530.9776419378853,904.5574443136446,443.8491173053592,1213.0395180125884,389.6881425337889,1127.4427340990442,675.3666536862099,1168.7042693232493,735.8835720150443,1045.846943717741,766.4601409447127,1096.475681004209,771.1697909248492,1012.8793938567852,827.6855906864878,1110.6046309446185,848.8790155971022
labeled-data/videoplayback/img063.png,1021.5218881087746,186.69634132742885,1116.8818806269376,179.11088737712043,1047.5291587955462,245.21270037266515,1072.4527932037026,243.0454278154342,1029.107342059083,318.8999673185184,1063.7837029747786,421.84541378698975,979.2600732427707,456.5217747026853,1208.990964309254,470.6090463246867,894.7364435107625,425.09632262283617,1166.72914944325,344.9072380052901,1133.13642480617,623.4017616094704,1163.4782406074034,664.5799401968591,1051.8637039100083,733.9326620282503,1126.4326235838907,686.6566328703412,1031.274614616314,802.201747581026,1148.3073327067866,753.4381150433292
labeled-data/videoplayback/img068.png,1009.440277457034,259.6740349023804,1105.67030487197,252.50796903105538,1029.9147513751054,306.7653249139448,1053.4603963808877,307.78904860984835,1003.2979352816126,355.9040623173164,1044.2468831177555,483.8695243052632,1005.3453826734196,534.0319854045383,,,949.0405793987229,558.6013541062241,1197.8054375032918,471.5848399544203,1120.0024366146201,699.8752241409175,1168.1174503220882,749.013961544289,1052.4366726849842,756.1800274156141,1096.4567916088379,772.5596065500713,1034.0096461587198,807.3662122107928,1121.0261603105237,855.4812259182609
